mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Energetic,Ric Flair Drip (with Metro Boomin),Without Warning,21 Savage,7sO5G9EABYOXQKNPNiE9NR,2017-10-30,82,172800,0.88,0.149,0.428,5.05e-05,0.114,0.333,-8.28,0.206,100.007,9,4
Energetic,Faucet Failure,STOKELEY,Ski Mask The Slump God,1ThmUihH9dF8EV08ku5AXN,2018-11-30,76,145626,0.935,0.111,0.552,0.0,0.0952,0.615,-9.373,0.335,99.993,10,4
Energetic,Yes Indeed,Harder Than Ever,Lil Baby,6vN77lE9LK6HP2DewaN6HZ,2018-05-18,81,142273,0.963,0.0355,0.346,0.0,0.108,0.562,-9.309,0.53,119.957,5,4
Energetic,Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,1wJRveJZLSb1rjhnUHQiv6,2018-12-21,76,189486,0.581,0.0153,0.662,0.0,0.111,0.434,-5.239,0.303,93.023,9,4
Energetic,Look At Me!,Look At Me!,XXXTENTACION,7floNISpH8VF4z4459Qo18,2017-02-20,83,126345,0.763,0.259,0.726,0.0,0.0976,0.349,-6.405,0.282,139.059,1,4
Energetic,Slippery (feat. Gucci Mane),Culture,Migos,6p8NuHm8uCGnn2Dtbtf7zE,2017-04-07,44,304041,0.92,0.307,0.675,0.0,0.104,0.749,-5.661,0.263,141.967,1,4
Energetic,Take A Step Back,You Will Regret (Reloaded),Ski Mask The Slump God,2gQYziDV5cSTRSqr6akzi5,2018-02-02,75,210386,0.8,0.111,0.591,0.0,0.429,0.747,-8.808,0.271,117.003,6,4
Energetic,Drip Too Hard (Lil Baby & Gunna),Drip Harder,Lil Baby,78QR3Wp35dqAhFEc2qAGjE,2018-10-05,82,145542,0.897,0.0852,0.662,0.0,0.534,0.389,-6.903,0.292,112.511,1,4
Energetic,X (feat. Future),Savage Mode,21 Savage,6fwdbPMwP1zVStm8FybmkO,2016-07-15,72,258880,0.835,0.373,0.413,0.00133,0.101,0.111,-9.81,0.396,149.004,1,4
Energetic,Taste (feat. Offset),Legendary,Tyga,2toVe5hfuIi97ytDPDbQFt,2019-06-07,73,229210,0.866,0.0293,0.613,0.0,0.104,0.359,-6.385,0.151,98.001,0,4
Energetic,Nonstop,Scorpion,Drake,0TlLq3lA83rQOYtrqBqSct,2018-06-29,79,238614,0.912,0.0165,0.412,0.0126,0.104,0.423,-8.074,0.123,154.983,7,4
Energetic,No Heart,Savage Mode,21 Savage,4gmmRb6bZJffOOiww1JGTO,2016-07-15,73,235040,0.906,0.136,0.444,6.44e-05,0.173,0.678,-8.692,0.384,140.063,4,4
Energetic,The London (feat. J. Cole & Travis Scott),So Much Fun,Young Thug,3s4mrPrEFFPF0LmAfutW0n,2019-08-16,69,200186,0.784,0.0249,0.517,1.44e-06,0.155,0.206,-8.981,0.209,97.991,4,4
Energetic,Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,Drake,5ry2OE6R2zPQFDO85XkgRb,2019-06-15,78,205426,0.831,0.101,0.502,0.0,0.122,0.101,-4.045,0.046,100.541,10,4
Energetic,Lonely,Married to the Money II #Mttm2,Speaker Knockerz,0dbZ2iUuKvsm3FupBw6M9N,2014-09-02,64,186613,0.802,0.126,0.582,0.0,0.161,0.338,-7.296,0.235,150.002,1,4
Energetic,Going Bad (feat. Drake),Championships,Meek Mill,2IRZnDFmlqMuOrYOLnZZyc,2018-11-30,80,180522,0.889,0.259,0.496,0.0,0.252,0.544,-6.365,0.0905,86.003,4,4
Energetic,SICKO MODE,ASTROWORLD,Travis Scott,2xLMifQCjDGFmkHkpNLD9h,2018-08-03,83,312820,0.834,0.00513,0.73,0.0,0.124,0.446,-3.714,0.222,155.008,8,4
Energetic,Pure Water (with Migos),Perfect Ten,Mustard,3j84U36KvLeXNDPv4t5pI8,2019-06-28,76,192470,0.682,0.174,0.559,0.0,0.344,0.137,-5.545,0.127,202.015,0,4
Energetic,Bank Account,Issa Album,21 Savage,2fQrGHiQOvpL9UgPvtYy6G,2017-09-23,51,220306,0.884,0.015,0.347,7e-06,0.0871,0.376,-8.227,0.35,75.016,8,4
