mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Exuberence,A-O-K,A-O-K,Tai Verdes,4CbrNGvwVjneG8Nk9YQqMR,2021-05-06,19,173640,0.731,0.125,0.626,0.0,0.183,0.862,-6.919,0.0805,82.488,11,4
Exuberence,The Kiss Of Venus (Dominic Fike),The Kiss Of Venus (Dominic Fike),Paul McCartney,3gCYle76USfbHa7VDTDg5V,2021-03-11,61,143530,0.715,0.627,0.374,0.0,0.11,0.633,-6.665,0.0399,89.982,8,4
Exuberence,Mr. Angel,Just To Be Ironic,Tommy Newport,29gMFgHls5ghU24gLLFTf4,2018-11-16,47,240000,0.671,0.11,0.51,1.04e-05,0.0883,0.395,-7.357,0.0323,167.987,0,4
Exuberence,Greyhound,Greyhound,Pell,3ORawnFOkFrsIpzoxLso8l,2018-09-07,45,198213,0.615,0.0165,0.703,0.0,0.179,0.818,-6.082,0.0499,169.977,1,4
Exuberence,JUNE,JUNE,NASAYA,7J6ksWrraIusOZztXNyFdw,2020-07-29,48,212631,0.602,0.0223,0.526,0.000136,0.0614,0.634,-7.4,0.228,114.043,0,4
Exuberence,3 Nights,"Don't Forget About Me, Demos",Dominic Fike,0uI7yAKUf52Cn7y3sYyjiX,2018-10-16,72,177666,0.815,0.223,0.518,0.0,0.104,0.877,-6.594,0.0897,151.891,7,4
Exuberence,Outskirts Of Infinity,Outskirts Of Infinity,Ashes To Amber,77EtpdLPsfzFOBONaTc1IQ,2020-03-28,40,187846,0.744,0.51,0.66,9.38e-05,0.135,0.74,-6.999,0.0365,129.984,4,4
Exuberence,Photo ID (with Dominic Fike),Photo ID (with Dominic Fike),Remi Wolf,4Ke6Ac2MVPhfQH3xPTjVZ3,2021-03-03,37,207926,0.758,0.31,0.843,0.0,0.223,0.851,-3.323,0.103,115.927,1,4
Exuberence,Sit Next to Me - Stereotypes Remix,Sit Next to Me (Stereotypes Remix),Foster The People,4v0CuFW0bEMBQ1gRn2mB3X,2018-02-23,56,190720,0.68,0.173,0.738,0.00036,0.37,0.675,-4.881,0.0331,105.015,6,4
Exuberence,Change My Mind,Camp Nowhere,Peach Tree Rascals,1OAvHPLuZFfuMZE3IL9Pun,2021-03-26,47,121405,0.703,0.3,0.644,0.0,0.367,0.728,-5.467,0.213,177.917,1,4
Exuberence,Dancing in My Room,Dancing in My Room,347aidan,7CCCX50zGHMTuHsyKQy03l,2020-10-26,0,180121,0.979,0.658,0.41,3.42e-05,0.205,0.74,-11.056,0.112,119.971,8,4
Exuberence,Canyon Moon,Fine Line,Harry Styles,5IhzJOXNE7ki0IIJbZbnGq,2019-12-13,76,189786,0.603,0.328,0.621,3.49e-05,0.119,0.7,-7.14,0.0267,94.022,2,4
Exuberence,Orphans,Orphans / Arabesque,Coldplay,6YQlCOZnlFmqeciAh58fDE,2019-10-24,52,197533,0.503,0.0258,0.808,0.00149,0.557,0.282,-5.051,0.0451,107.973,11,4
Exuberence,Roll Up (feat. Marko Penn),Roll Up (feat. Marko Penn),B.o.B,6cbVp9abjjESjHgqjM1bWm,2016-04-29,54,168631,0.825,0.513,0.453,0.0,0.102,0.614,-8.17,0.0451,108.991,10,4
Exuberence,Happiness,Happiness,Wingtip,5JDL0rNULeovZKR4GNbz4B,2019-07-10,52,171158,0.816,0.0398,0.72,0.0,0.148,0.81,-8.33,0.152,91.018,6,4
Exuberence,Olivia,Made In The A.M. (Deluxe Edition),One Direction,5dONhl6aXFuN86UBdayF6W,2015-11-13,73,177973,0.64,0.0438,0.681,0.0,0.166,0.676,-5.362,0.0334,118.062,6,4
Exuberence,Run the World!!!,Fuzzybrain,Dayglow,0AsUVUloJ52ZCXmqrMFgOI,2019-11-14,68,176250,0.706,0.158,0.631,0.000607,0.0374,0.424,-7.711,0.0553,160.064,0,4
Exuberence,Big Love (with EARTHGANG & MNDR),Here For Now,Louis The Child,25Q6XHjKEyaXzCvKlwDpPP,2020-06-26,53,167480,0.669,0.00498,0.748,0.0,0.17,0.373,-3.218,0.106,87.012,8,4
Exuberence,Walking in the Wind,Made In The A.M. (Deluxe Edition),One Direction,1ZycJRpLOazlLcoFGxGROO,2015-11-13,68,202640,0.687,0.0829,0.447,0.0,0.0878,0.501,-6.586,0.0486,114.578,8,4
Exuberence,Chapstick - Demo,Demos II,Hippo Campus,0XMl74P3Gx6wvf1PumII1I,2019-07-10,30,198373,0.579,0.713,0.767,0.825,0.137,0.858,-5.779,0.0334,159.924,11,4
Exuberence,500 Days of Summer,500 Days of Summer,Grady,5PQhQUcdaUJy6t39LdOOX7,2019-06-25,53,113764,0.672,0.404,0.762,2.48e-06,0.146,0.704,-5.373,0.25,77.051,8,4
Exuberence,miss me yet (bump),miss me yet (bump),again&again,02pBOITZQS1iVuZ8ej77tL,2020-05-29,33,147861,0.785,0.475,0.488,2.13e-06,0.482,0.765,-8.124,0.239,80.016,11,4
Exuberence,RATCHET SATURN GIRL,ONEPOINTFIVE,Aminé,2q4F6OpQgx9umNB9uGFPYo,2018-08-15,55,146573,0.538,0.0378,0.605,0.0,0.159,0.657,-5.413,0.119,39.497,3,4
Exuberence,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Revenge Of The Dreamers III: Director's Cut,Dreamville,1SYZeqExX1250udNlaEAze,2020-01-16,46,169146,0.81,0.038,0.584,0.0,0.0559,0.715,-5.364,0.339,149.814,0,4
Exuberence,Motiv8,KOD,J. Cole,1AT4xjNarTswd0UZ5FlmKF,2018-04-20,63,133921,0.869,0.135,0.385,0.0,0.0931,0.596,-7.801,0.297,149.897,4,4
Exuberence,Stan Smiths,Stan Smiths,Cannon,3aV6llTW0aRg0Db852uaC7,2019-11-01,46,207885,0.764,0.263,0.703,2.95e-06,0.192,0.839,-5.354,0.0932,100.001,0,4
Exuberence,Somebody to Love,Marbled,Abhi The Nomad,3pdHWxpeFJqai3skQcRr41,2018-02-09,51,250000,0.827,0.118,0.525,0.00674,0.107,0.883,-5.823,0.0309,119.985,6,4
Exuberence,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,748mdHapucXQri7IAO8yFK,2021-04-09,84,208866,0.762,0.235,0.701,0.000158,0.123,0.742,-3.541,0.0286,110.968,8,4
