mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Frantic,Rise Above,Damaged,Black Flag,4kFfFe38CRVnTsakUTL4E4,1981,55,146560,0.374,0.119,0.816,8.01e-06,0.0808,0.138,-13.88,0.0578,104.56,2,4
Frantic,Attitude,Bad Brains,Bad Brains,2yQMdhTWfpYBWvR1zAexED,1982,0,79853,0.173,0.000253,0.885,0.000216,0.193,0.213,-11.475,0.0653,165.814,9,4
Frantic,Minor Threat,First Two 7s,Minor Threat,7L7rEquwHEQs1XqN7EUhgG,1984,0,91240,0.276,0.00101,0.91,0.0014,0.276,0.935,-7.465,0.0491,166.469,2,4
Frantic,Live Fast Die Young,Group Sex,Circle Jerks,12OdPauMcbJ6d0VcKjeCgM,1980,0,93600,0.507,0.095,0.883,0.000129,0.0673,0.805,-9.389,0.0357,108.275,4,4
Frantic,I Don't Need Society,The Dirty Rotten CD,D.R.I.,6vTSyIt0CUXaB6mDWjFsBA,2007-01-09,35,76946,0.379,0.00165,0.922,0.068,0.256,0.352,-5.693,0.175,119.149,5,4
Frantic,Who Are You??,Side B,Void,6oVoFa1a6YqQrCAoAUfSMA,2010-12-02,13,141560,0.226,0.000478,0.91,0.695,0.203,0.186,-9.146,0.177,92.901,0,4
Frantic,I Shot The Devil,Suicidal Tendencies,Suicidal Tendencies,1O546awreywj6009LmiYrz,1983-07-01,0,111200,0.407,0.00368,0.966,1.63e-06,0.15,0.181,-8.561,0.137,104.096,4,4
Frantic,Something I Learned Today,Zen Arcade,Hüsker Dü,523qoxtSZJE2io945dAkVk,1984-01-01,44,122560,0.406,0.0033,0.963,0.000515,0.11,0.342,-10.842,0.0408,104.729,4,4
Frantic,California Uber Alles,Jon Savage Presents Black Hole - Californian Punk 1977-80,Various Artists,2WH1MBYu7eCd1fDs9keLAI,2010-11-15,0,208306,0.241,0.106,0.857,0.00025,0.143,0.65,-6.14,0.126,163.589,8,4
Frantic,Hear Nothing See Nothing Say Nothing,Hear Nothing See Nothing Say Nothing,Discharge,2mpx1DORqOCm3JxljOGcMs,1982,0,90386,0.188,3.48e-06,0.978,0.00237,0.124,0.226,-3.037,0.195,154.579,1,4
Frantic,We Gotta Know,The Age of Quarrel,Cro-Mags,4Z3VVXMLfvU3J1VPcblVWI,1986-09-12,24,199613,0.338,0.000156,0.979,0.00199,0.137,0.0808,-4.623,0.0902,105.259,8,4
Frantic,Amoeba,Adolescents,Adolescents,3liFiHiH5TWRqJx1K14DDe,1981,0,186626,0.403,6.9e-05,0.965,0.00243,0.78,0.521,-7.342,0.0588,94.566,4,4
Frantic,New Direction,Start Today,Gorilla Biscuits,7CdGO6KJg20UAAXl7CW8q6,1989-07-14,43,149133,0.356,0.00321,0.983,2.39e-06,0.246,0.19,-4.354,0.136,137.374,6,4
Frantic,I Love Livin' in the City,The Record,Fear,0qHt7KGw9LPm4Ms4qUZlSd,1981-01-01,40,125040,0.547,0.00115,0.839,0.0,0.433,0.343,-9.521,0.0709,95.611,5,4
Frantic,Banned In D.C.,Bad Brains,Bad Brains,6MYusHmom4vpQN4qGyHl0h,1982,0,132786,0.139,0.000612,0.712,0.816,0.0983,0.689,-12.103,0.0399,152.933,9,4
Frantic,My War,My War,Black Flag,4rrbptVnZifk4wC5mvNDPm,1984-03-01,49,226333,0.215,0.65,0.503,0.0283,0.098,0.35,-16.318,0.0463,186.866,1,1
Frantic,Sneakers,Minor Disturbance,Teen Idles,1rmennvo73CrzQPCrYU6o5,1980,18,88493,0.325,0.000537,0.898,5.58e-05,0.193,0.306,-11.991,0.0692,102.488,1,1
Frantic,Takin' a Ride,"Sorry Ma, Forgot to Take out the Trash",The Replacements,2c2HQH3k6C9LLjLAKGeMxn,1981-08-25,22,143266,0.408,0.00329,0.89,2.87e-06,0.699,0.782,-7.393,0.052,93.127,4,4
Frantic,Chartered Trips,Zen Arcade,Hüsker Dü,7jmIBvIkPcAR6yzbR7YsJH,1984-01-01,33,219400,0.327,0.00446,0.961,0.00939,0.308,0.31,-10.603,0.0533,107.484,1,4
Frantic,Straight Edge,First Two 7s,Minor Threat,1xXKacUn8XhZ2ifv05RjL1,1984,0,47226,0.251,0.00098,0.958,0.00408,0.313,0.748,-6.383,0.0685,189.067,5,4
Frantic,Fuck Armageddon...This Is Hell,How Could Hell Be Any Worse? (Re-Issue),Bad Religion,46czomX2ayQ4a6HrZR3O78,1982-01-12,0,168773,0.278,0.0271,0.88,0.0,0.329,0.18,-5.894,0.0657,78.385,2,4
Frantic,Straight Jacket,The Punch Line,Minutemen,5j9PnyFCKuoKuvncJuhKOH,2006-01-24,19,59733,0.486,0.0045,0.495,0.0666,0.0458,0.508,-13.415,0.0731,106.8,8,4
Frantic,The Possibility of Life's Destruction,Hear Nothing See Nothing Say Nothing,Discharge,3wwouNU73E0pcfXkfcYSJJ,1982,0,74360,0.0913,2.82e-05,0.98,0.0,0.0985,0.0396,-2.133,0.0833,164.338,0,4
Frantic,Holiday In Cambodia,Fresh Fruit for Rotting Vegetables,Dead Kennedys,3RNlXmY0mgiTXWwn0BIudY,1980-01-01,16,279333,0.31,0.821,0.957,0.553,0.344,0.383,-8.706,0.0676,100.808,7,4
Frantic,I'm The One,Everything Sucks,Descendents,4d9LC9QoGja5M3en0HWUq1,1996,0,135133,0.391,0.0102,0.968,7.01e-05,0.446,0.647,-6.324,0.0625,90.481,0,4
Frantic,I Hate Children,Adolescents,Adolescents,2xHvRPKT306R2QcOEoslQc,1981,0,105466,0.322,0.000591,0.947,0.0,0.347,0.62,-7.261,0.0445,148.222,2,4
Frantic,"New Wave Sucks - Positively D.O.A. 7"" EP 1981",Punk Rock Singles 1978-1999,D.O.A.,5p7JZOOiMpNBHvDfle8aZU,2007-06-19,0,86533,0.436,0.000618,0.975,7.84e-06,0.0659,0.388,-5.183,0.161,119.659,7,4
Frantic,Customer,"Sorry Ma, Forgot to Take out the Trash",The Replacements,6acyCHhyJxayb3fG5z4Ls5,1981-08-25,22,89173,0.39,0.00129,0.914,0.0,0.889,0.625,-7.053,0.0621,110.772,4,4
Frantic,I Against I,I Against I,Bad Brains,2Q1eMd5WFmOOI90cytHAtT,1986,47,170706,0.342,0.0183,0.934,0.00239,0.252,0.431,-11.511,0.0594,112.096,7,4
Frantic,I'll Never Forget You,Zen Arcade,Hüsker Dü,6jico9Z2EAWo6mZURyK8BJ,1984-01-01,28,139773,0.283,5.95e-05,0.955,0.00171,0.0785,0.334,-11.142,0.0692,128.936,2,3
Frantic,Bob Dylan Wrote Propaganda Songs,What Makes a Man Start Fires?,Minutemen,2ZcoUqFJBucCbnKEuEMb1V,2006-01-24,23,89466,0.446,2.99e-05,0.978,0.865,0.0996,0.328,-7.804,0.0751,145.429,4,4
Frantic,Knowledge,Operation Ivy,Operation Ivy,1SCJCsVBXtHbeqfXYH4Q66,2007-11-05,0,102106,0.42,0.262,0.947,6.52e-05,0.416,0.51,-4.269,0.119,92.027,5,4
Frantic,Filler,First Two 7s,Minor Threat,2Gh0bJHkYz6dhCky1XvXC0,1984,0,92693,0.168,0.000181,0.977,0.00421,0.0636,0.571,-6.716,0.102,189.339,4,4
