mood,danceability,acousticness,energy,liveness,valence,loudness
0,0.701,0.00843,0.547,0.0987,0.4,-8.238
0,0.513,0.00968,0.788,0.11,0.234,-4.629
0,0.766,0.0146,0.83,0.035,0.756,-3.335
0,0.769,0.66,0.479,0.0914,0.803,-5.339
0,0.646,0.0714,0.761,0.222,0.472,-2.557
0,0.658,0.00463,0.804,0.178,0.508,-5.735
0,0.539,0.0651,0.651,0.0662,0.474,-5.304
0,0.759,0.156,0.605,0.694,0.64,-7.737
0,0.731,0.125,0.626,0.183,0.862,-6.919
0,0.81,0.267,0.788,0.196,0.845,-3.663
0,0.356,0.152,0.684,0.101,0.347,-7.347
0,0.793,0.156,0.714,0.136,0.794,-7.562
0,0.668,0.0493,0.563,0.119,0.305,-6.433
0,0.705,0.18,0.824,0.0901,0.925,-4.825
0,0.714,0.0802,0.657,0.35,0.725,-6.436
0,0.47,0.00124,0.709,0.302,0.247,-4.563
0,0.695,0.057,0.656,0.267,0.346,-6.038
0,0.736,0.0381,0.751,0.105,0.839,-5.588
0,0.573,0.212,0.739,0.175,0.363,-5.455
0,0.569,0.0148,0.85,0.245,0.551,-3.914
0,0.815,0.223,0.518,0.104,0.877,-6.594
0,0.693,0.0668,0.604,0.114,0.651,-5.279
0,0.673,0.0591,0.902,0.0558,0.538,-2.392
0,0.66,0.016,0.852,0.203,0.594,-3.573
0,0.697,0.137,0.875,0.28,0.774,-4.621
0,0.743,0.161,0.832,0.0925,0.801,-3.937
0,0.591,0.225,0.702,0.414,0.501,-5.59
0,0.912,0.121,0.774,0.101,0.632,-4.673
0,0.737,0.00614,0.846,0.0486,0.546,-4.51
0,0.682,0.326,0.72,0.148,0.673,-8.173
0,0.589,0.000927,0.783,0.187,0.622,-6.069
0,0.654,0.00515,0.787,0.144,0.409,-4.999
0,0.727,0.0469,0.626,0.126,0.322,-8.415
0,0.7,0.121,0.872,0.103,0.761,-5.896
0,0.651,0.179,0.617,0.113,0.591,-6.077
0,0.714,0.149,0.68,0.098,0.672,-5.321
0,0.587,0.0719,0.84,0.276,0.932,-6.455
0,0.686,0.0948,0.83,0.182,0.486,-4.437
0,0.291,0.0922,0.443,0.382,0.532,-5.376
0,0.628,0.0155,0.877,0.113,0.721,-4.205
0,0.626,0.145,0.765,0.465,0.777,-6.167
0,0.704,0.0593,0.701,0.126,0.606,-5.44
0,0.499,0.124,0.898,0.0832,0.618,-4.181
0,0.467,0.102,0.795,0.264,0.472,-3.6
0,0.548,0.0119,0.721,0.216,0.594,-4.466
0,0.878,0.183,0.525,0.0714,0.694,-6.832
0,0.717,0.0018,0.671,0.0921,0.699,-5.077
0,0.707,0.0255,0.689,0.383,0.41,-7.097
0,0.421,0.151,0.669,0.635,0.326,-4.724
0,0.723,0.00524,0.772,0.367,0.58,-6.784
0,0.704,0.0826,0.797,0.0546,0.825,-5.927
0,0.58,0.0304,0.804,0.105,0.137,-4.618
0,0.585,0.11,0.82,0.134,0.396,-4.428
0,0.73,0.0264,0.792,0.101,0.745,-5.33
0,0.766,0.03,0.533,0.0667,0.764,-5.758
0,0.736,0.0158,0.667,0.131,0.774,-4.716
0,0.526,0.0587,0.818,0.333,0.896,-5.952
0,0.603,0.0105,0.649,0.243,0.672,-5.848
0,0.653,0.0515,0.623,0.0869,0.48,-5.989
0,0.617,0.213,0.756,0.152,0.432,-5.811
0,0.461,0.0232,0.834,0.14,0.471,-4.868
0,0.703,0.123,0.748,0.0642,0.625,-6.047
0,0.761,0.18,0.566,0.207,0.631,-7.923
0,0.699,0.00296,0.882,0.13,0.657,-3.896
0,0.65,0.145,0.88,0.351,0.648,-4.292
0,0.729,0.0424,0.973,0.333,0.687,-2.761
0,0.763,0.169,0.661,0.117,0.632,-5.592
0,0.558,0.274,0.877,0.162,0.762,-3.392
0,0.721,0.151,0.745,0.372,0.699,-3.508
0,0.447,0.212,0.553,0.165,0.252,-4.817
0,0.794,0.198,0.706,0.0536,0.908,-6.066
0,0.756,0.0578,0.815,0.387,0.927,-5.122
0,0.8,0.158,0.66,0.14,0.634,-4.903
0,0.652,0.168,0.797,0.339,0.358,-4.78
0,0.688,0.0971,0.662,0.172,0.549,-5.57
0,0.621,0.222,0.747,0.147,0.426,-5.084
0,0.783,0.158,0.762,0.092,0.33,-4.727
0,0.548,0.0448,0.806,0.126,0.749,-7.249
0,0.494,0.413,0.553,0.218,0.359,-5.57
0,0.715,0.127,0.635,0.0862,0.39,-6.591
0,0.737,0.269,0.747,0.219,0.447,-4.818
0,0.733,0.0931,0.786,0.1,0.786,-7.494
0,0.46,0.289,0.8,0.121,0.553,-3.584
0,0.676,0.617,0.525,0.356,0.421,-5.88
0,0.676,0.197,0.786,0.0943,0.483,-4.529
0,0.667,0.0863,0.827,0.0565,0.573,-5.631
0,0.766,0.0263,0.548,0.21,0.552,-7.834
0,0.669,0.217,0.629,0.366,0.294,-5.018
0,0.645,0.0343,0.786,0.139,0.597,-5.337
0,0.73,0.0179,0.558,0.128,0.618,-6.535
0,0.308,0.012,0.861,0.277,0.0386,-4.112
0,0.611,0.144,0.651,0.105,0.351,-6.973
0,0.636,0.0796,0.63,0.13,0.454,-6.396
