mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Sad,Someone Like You,21,Adele,1zwMYTA5nlNjZxYrvBB2pV,2011-01-24,79,285240,0.556,0.893,0.319,0.0,0.0996,0.294,-8.251,0.0281,135.187,9,4
Sad,The Heart Wants What It Wants,The Heart Wants What It Wants,Selena Gomez,6wJwkMo278iWVlWl1XQ4WA,2014-01-01,68,227373,0.616,0.053,0.789,0.0,0.142,0.621,-4.874,0.0377,83.066,7,4
Sad,When I Was Your Man,Unorthodox Jukebox,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh,2012-12-07,85,213826,0.612,0.932,0.28,0.0,0.088,0.387,-8.648,0.0434,72.795,0,4
Sad,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,2019-05-17,86,182160,0.501,0.751,0.405,0.0,0.105,0.446,-5.679,0.0319,109.891,1,4
Sad,Almost Is Never Enough,Yours Truly,Ariana Grande,63bo7NDoWdMFXufhsYOxwG,2013-01-01,55,327773,0.323,0.824,0.327,0.0,0.101,0.335,-7.494,0.0411,81.329,2,4
Sad,Happier,÷ (Deluxe),Ed Sheeran,2RttW7RAu5nOAfq6YFvApB,2017-03-03,80,207520,0.522,0.536,0.385,0.0,0.135,0.236,-7.355,0.0288,89.792,0,4
Sad,Thinkin Bout You,channel ORANGE,Frank Ocean,7DfFc7a6Rwfi3YQMRbDMau,2012-07-10,77,200746,0.721,0.409,0.339,0.00153,0.0973,0.2,-11.195,0.0532,129.83,0,4
Sad,If I Ain't Got You,The Diary Of Alicia Keys,Alicia Keys,3XVBdLihbNbxUwZosxcGuJ,2003-12-02,79,228706,0.609,0.603,0.444,6.86e-06,0.104,0.166,-9.129,0.106,118.402,7,3
Sad,Because of You,Breakaway,Kelly Clarkson,3f3omU8n47Mqyab5nCaGyT,2004-01-17,70,219493,0.583,0.254,0.584,0.0,0.123,0.136,-5.362,0.0314,140.039,5,4
Sad,Remember Who I Was,Remember Who I Was,James Arthur,7AsQ91Fnyga6cqYIJaMSVe,2016-10-21,36,178093,0.349,0.847,0.326,3.33e-06,0.112,0.179,-9.151,0.0504,76.909,8,4
Sad,"i hate u, i love u (feat. olivia o'brien)",us,Garrett Nash,7vRriwrloYVaoAe3a9wJHe,2016-03-25,78,251033,0.492,0.687,0.275,0.0,0.101,0.18,-13.4,0.3,92.6,6,4
Sad,Jealous,Jealous - EP,Labrinth,4G92yYrUs0cvY7G41YRI0z,2014-11-23,77,287693,0.439,0.874,0.153,0.0,0.107,0.104,-8.95,0.0479,116.76,1,3
Sad,Let It Go,Chaos And The Calm,James Bay,13HVjjWUZFaWilh2QUJKsP,2014-12-15,70,260533,0.546,0.818,0.311,1.65e-05,0.107,0.246,-10.396,0.0288,147.464,1,4
Sad,Stay - Album Version (Edited),Unapologetic (Edited Version),Rihanna,789CxjEOtO76BVD1A9yJQH,2012-01-01,68,240706,0.621,0.945,0.31,6.12e-05,0.117,0.125,-10.164,0.0283,111.893,9,4
Sad,So Many Skies,Antipodes,Caroline Jones,2LF0OpWDJDad3cNGqwk3kf,2021-11-12,63,215611,0.469,0.752,0.334,2.48e-05,0.376,0.282,-8.172,0.0263,84.905,2,3
Sad,A Thousand Years,A Thousand Years,Christina Perri,6lanRgr6wXibZr8KgzXxBl,2011-10-18,81,285120,0.421,0.309,0.407,0.000961,0.11,0.161,-7.445,0.0267,139.028,10,3
Sad,Supermarket Flowers,÷ (Deluxe),Ed Sheeran,4VuS959DSpr82t3qBqCrWG,2017-03-03,75,221106,0.589,0.914,0.242,0.0,0.0887,0.257,-10.517,0.0442,89.749,6,4
Sad,It's You,YOU,Ali Gatie,5DqdesEfbRyOlSS3Tf6c29,2019-11-08,81,212606,0.732,0.374,0.463,0.0,0.194,0.397,-6.972,0.0287,95.971,11,4
Sad,Dancing On My Own,Only Human (Deluxe),Calum Scott,2BOqDYLOJBiMOXShCV1neZ,2018-03-09,81,260285,0.681,0.837,0.174,3.35e-05,0.0983,0.231,-8.745,0.0315,112.672,1,4
Sad,Skinny Love,Birdy,Birdy,4RL77hMWUq35NYnPLXBpih,2011-11-04,71,201080,0.379,0.952,0.29,0.00106,0.118,0.169,-8.485,0.051,166.467,4,4
Sad,Jar of Hearts,lovestrong.,Christina Perri,0HZhYMZOcUzZKSFwPOti6m,2011-05-10,73,246587,0.349,0.726,0.348,0.0,0.12,0.0886,-6.142,0.0316,74.541,3,4
Sad,feel alive,feel alive,Halston Dare,1IHER3odWnzjIRD8ps4eQA,2022-06-17,54,203880,0.504,0.303,0.538,0.0,0.139,0.351,-6.714,0.0297,96.059,5,4
Sad,All of Me,Love In The Future (Expanded Edition),John Legend,3U4isOIWM3VvDubwSI3y7a,2013-08-30,85,269560,0.422,0.922,0.264,0.0,0.132,0.331,-7.064,0.0322,119.93,8,4
Sad,You & I,Midnight Memories (Deluxe),One Direction,2afCBiru10AFckfOa49wIa,2013-11-25,78,237933,0.574,0.22,0.329,0.0,0.0986,0.356,-6.829,0.0274,130.993,1,4
Sad,Fix You,X&Y,Coldplay,7LVHVU3tWfcxj5aiPFEW4Q,2005-06-07,82,295533,0.209,0.164,0.417,0.00196,0.113,0.124,-8.74,0.0338,138.178,3,4
Sad,Chasing Cars,Eyes Open,Snow Patrol,11bD1JtSjlIgKgZG2134DZ,2006-01-01,77,267933,0.563,0.209,0.592,5.08e-05,0.132,0.136,-4.571,0.0276,104.016,9,4
Sad,How to Save a Life,How To Save A Life,The Fray,5fVZC9GiM4e8vu99W0Xf6J,2005-09-13,80,262533,0.64,0.269,0.743,0.0,0.101,0.361,-4.08,0.0379,122.035,10,4
Sad,Superficial Love,The Intro,Ruth B.,5hwh37sTi84MVhCBMWzhGE,2015-11-27,68,207973,0.477,0.928,0.242,0.0,0.0818,0.488,-9.162,0.0529,43.509,8,4
