mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Calm,OTW,OTW,Khalid,6Hgh47WXVKtXN5zGOu0hjI,2018-04-20,73,263013,0.652,0.183,0.678,3.26e-05,0.106,0.28,-6.183,0.0541,72.989,2,4
Calm,Location,American Teen,Khalid,152lZdxL1OR0ZMW6KquMif,2017-04-27,79,219080,0.736,0.33,0.449,0.000162,0.0898,0.326,-11.462,0.425,80.126,1,4
Calm,All Mine,ye,Kanye West,3qnoOm4fwZPBS116f5hpgF,2018-06-01,0,145506,0.925,0.125,0.308,0.0,0.0933,0.265,-6.562,0.338,122.099,11,4
Calm,Same Drugs,Coloring Book,Chance the Rapper,6m9qPYXmhge2QhBLfFKnVF,2016-05-27,62,257775,0.461,0.947,0.293,9.95e-06,0.0936,0.531,-9.52,0.0555,180.297,6,4
Calm,Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,Calvin Harris,7tr2za8SQg2CI8EDgrdtNl,2017-06-30,73,230813,0.736,0.498,0.795,1.21e-06,0.254,0.511,-3.299,0.0545,104.066,1,4
Calm,Cigarette Daydreams,Melophobia,Cage The Elephant,2tznHmp70DxMyr2XhWLOW0,2013-10-08,79,208760,0.636,0.0807,0.676,0.0,0.0831,0.273,-3.442,0.0263,113.98,2,4
Calm,Sober,Kauai,Childish Gambino,6olUplztLFFfU7fMYmFXOP,2014-10-03,0,252013,0.699,0.0972,0.601,1.17e-05,0.562,0.434,-6.48,0.0304,98.04,0,4
Calm,Sunday Candy,Surf,Donnie Trumpet & The Social Experiment,6fTdcGsjxlAD9PSkoPaLMX,2015-06-30,65,226013,0.511,0.53,0.596,0.0,0.0798,0.554,-6.56,0.224,158.063,0,4
Calm,Sky Walker (feat. Travis Scott),War & Leisure,Miguel,5WoaF1B5XIEnWfmb5NZikf,2017-12-01,74,259333,0.674,0.173,0.506,0.0,0.0866,0.183,-10.532,0.0434,145.965,6,4
Calm,Wanna Be Cool,Surf,Donnie Trumpet & The Social Experiment,4Zf351SuPuXo8w6IIMsxev,2015-06-30,43,207559,0.663,0.239,0.611,0.0,0.181,0.337,-8.287,0.301,116.947,0,4
Calm,Foreplay,Charlie Eastern,Jalen Santoy,3mogmakkKiKWOB0tVj1X9i,2016-11-18,50,171370,0.793,0.143,0.315,0.0142,0.113,0.541,-7.457,0.0825,118.824,1,4
Calm,Grey Luh,Berhana,Berhana,1x1BKrrpq7CfOZPBeUsx16,2016-07-21,57,261102,0.543,0.597,0.298,1.49e-06,0.0804,0.254,-9.167,0.0683,125.523,0,4
Calm,LOVE. FEAT. ZACARI.,DAMN.,Kendrick Lamar,6PGoSes0D9eUDeeAafB2As,2017-04-14,82,213400,0.8,0.264,0.585,0.0,0.153,0.779,-7.343,0.0924,126.058,10,4
Calm,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",7KA4W4McWYRpgf0fWsJZWB,2017-07-21,85,180386,0.558,0.371,0.559,7.49e-06,0.109,0.62,-9.222,0.0959,78.558,6,4
Calm,Young Dumb & Broke,American Teen,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,2017-04-27,81,202546,0.799,0.199,0.539,1.66e-05,0.165,0.394,-6.351,0.0421,136.948,1,4
Calm,Come and See Me (feat. Drake),PARTYNEXTDOOR 3 (P3),PARTYNEXTDOOR,1wZqJM5FGDEl3FjHDxDyQd,2016-08-12,73,235477,0.717,0.0511,0.347,2.43e-06,0.087,0.0589,-10.265,0.0636,84.987,11,4
