,index,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
0,1,Location,American Teen,Khalid,152lZdxL1OR0ZMW6KquMif,2017-04-27,79,219080,0.736,0.33,0.449,0.000162,0.0898,0.326,-11.462,0.425,80.126,1,4
1,2,All Mine,ye,Kanye West,3qnoOm4fwZPBS116f5hpgF,2018-06-01,0,145506,0.925,0.125,0.308,0.0,0.0933,0.265,-6.562,0.338,122.099,11,4
2,3,Same Drugs,Coloring Book,Chance the Rapper,6m9qPYXmhge2QhBLfFKnVF,2016-05-27,62,257775,0.461,0.947,0.293,9.95e-06,0.0936,0.531,-9.52,0.0555,180.297,6,4
3,4,Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,Calvin Harris,7tr2za8SQg2CI8EDgrdtNl,2017-06-30,73,230813,0.736,0.498,0.795,1.21e-06,0.254,0.511,-3.299,0.0545,104.066,1,4
4,6,Sober,Kauai,Childish Gambino,6olUplztLFFfU7fMYmFXOP,2014-10-03,0,252013,0.699,0.0972,0.601,1.17e-05,0.562,0.434,-6.48,0.0304,98.04,0,4
5,7,Sunday Candy,Surf,Donnie Trumpet & The Social Experiment,6fTdcGsjxlAD9PSkoPaLMX,2015-06-30,65,226013,0.511,0.53,0.596,0.0,0.0798,0.554,-6.56,0.224,158.063,0,4
6,8,Sky Walker (feat. Travis Scott),War & Leisure,Miguel,5WoaF1B5XIEnWfmb5NZikf,2017-12-01,74,259333,0.674,0.173,0.506,0.0,0.0866,0.183,-10.532,0.0434,145.965,6,4
7,9,Wanna Be Cool,Surf,Donnie Trumpet & The Social Experiment,4Zf351SuPuXo8w6IIMsxev,2015-06-30,43,207559,0.663,0.239,0.611,0.0,0.181,0.337,-8.287,0.301,116.947,0,4
8,11,Grey Luh,Berhana,Berhana,1x1BKrrpq7CfOZPBeUsx16,2016-07-21,57,261102,0.543,0.597,0.298,1.49e-06,0.0804,0.254,-9.167,0.0683,125.523,0,4
9,12,LOVE. FEAT. ZACARI.,DAMN.,Kendrick Lamar,6PGoSes0D9eUDeeAafB2As,2017-04-14,82,213400,0.8,0.264,0.585,0.0,0.153,0.779,-7.343,0.0924,126.058,10,4
10,13,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",7KA4W4McWYRpgf0fWsJZWB,2017-07-21,85,180386,0.558,0.371,0.559,7.49e-06,0.109,0.62,-9.222,0.0959,78.558,6,4
11,14,Young Dumb & Broke,American Teen,Khalid,5Z3GHaZ6ec9bsiI5BenrbY,2017-04-27,81,202546,0.799,0.199,0.539,1.66e-05,0.165,0.394,-6.351,0.0421,136.948,1,4
12,16,Thinkin Bout You,channel ORANGE,Frank Ocean,7DfFc7a6Rwfi3YQMRbDMau,2012-07-10,77,200746,0.721,0.409,0.339,0.00153,0.0973,0.2,-11.195,0.0532,129.83,0,4
13,17,Broad Shoulders (feat. Chance the Rapper),Broad Shoulders,Taylor Bennett,6m3ZXs465Rt4Tc1iiLktXL,2015-12-14,48,227263,0.6,0.822,0.524,3.29e-05,0.104,0.449,-9.297,0.146,127.5,0,4
14,18,Late Night (feat. Masego),"And After That, We Didn't Talk",GoldLink,60ZZNXIdwgUGkVGRt7foLT,2015-11-06,56,161080,0.442,0.278,0.446,0.0,0.308,0.295,-11.354,0.786,51.539,9,4
15,19,Better,Better,Khalid,4T3fNx3CgwDRRYgmFCbD4J,2018-09-14,72,229412,0.442,0.0984,0.585,0.391,0.14,0.116,-10.332,0.0964,97.565,0,4
